List,Expense Type,Transfer Date,Expenses ฿,Total Expenses (฿),Vendor,End Subscript Date,Payment Recipe,Remark,Project,Product Cost,Quantity,Transfer Account,VAT 7%,Withholding 3%,Invoice,"Invoice Date ",Receipt,Subscription Remaining,Category,ID,User Account,Total Expenses,Expenses $
Krungsri Design APP Menu,Business,17/09/2024,"THB 1,500.00",1500,Fastwork (https://www.notion.so/Fastwork-2390613ba140819ab2dfd57d70ab6f27?pvs=21),,Image_4e560b6f-aee2-4551-8439-157eaf5132e6.jpeg,,Untitled (https://www.notion.so/b215c0f91c9c43ea991d85cb44ee2055?pvs=21),,,,,,INVOICE_krungsri_app.pdf,,RECEIPT_Krungsri_app.pdf,,,6,indystyle33,39.267015706806,
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,4,,0,
Xbox Game Pass,,14/11/2023,,0,Xbox (https://www.notion.so/Xbox-2390613ba14081cd8faee9147373bc39?pvs=21),14/12/2023,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - No Card account,,,,,,⌛-630d.,,2,naruecha.ps@hotmail.com,0,1
Gemini free trial,,29/05/2024,,0,Google : Gemini (https://www.notion.so/Google-Gemini-2390613ba1408175bb94f4c746fa4e7b?pvs=21),28/07/2024,,,,iNeuMarketing (https://www.notion.so/iNeuMarketing-2390613ba1408146b155d6d2231de220?pvs=21),,KTB - Card account,,,,,,⌛-403d.,,3,indystyle33,0,1
จ่ายดอก ธกส.,Business,05/08/2024,"THB 3,000.00",3000,,,,,,,,KS - 9788,,,,,,,,1,,78.534031413613,
ManyChat,Business,15/09/2024,,0,ManyChat (https://www.notion.so/ManyChat-2390613ba1408130b701c4a300e0298c?pvs=21),30/09/2024,,,Untitled (https://www.notion.so/195ea2ec52bd459cad8dc055ac966d9c?pvs=21),,,KTB - Card account,,,,,,⌛-339d.,,5,BoldTime,0,0
จ่ายหนี้ ดอก ธกส.,Personal,01/10/2024,"THB 3,500.00",3500,,,,,,,,[Make by kbank],,,,,,,,14,,91.623036649215,
Living Thing,Personal,29/10/2024,"THB 6,000.00",6000,,,,,,,,[Make by kbank],,,,,,,,16,,157.068062827225,
Youtube,Business,18/09/2024,THB 300.00,300,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),,,,,,,[Make by kbank],,,,,,,,9,,7.853403141361,
Cannabis,Personal,10/10/2024,THB 400.00,400,,,,,,,,[Make by kbank],,,,,,,,12,,10.471204188482,
AdTalk Online Course,Business,15/10/2024,THB 990.00,990,BizTalk (https://www.notion.so/BizTalk-2390613ba140815c97efe8923144fbc8?pvs=21),,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),,,[Make by kbank],,,,,,,,17,,25.916230366492,
ChatGPT,Business,15/09/2024,THB 730.00,730,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),14/10/2024,,,,,,[Make by kbank],,,,,,⌛-325d.,,8,BoldTime,19.109947643979,
ร้านชำ,Personal,27/10/2024,THB 76.00,76,,,,,,,,[Make by kbank],,,,,,,,11,,1.989528795812,
"จ่ายดอก ธกส. ",Personal,01/11/2024,"THB 3,500.00",3500,,,,,,,,[Make by kbank],,,,,,,,10,,91.623036649215,
Youtube,Business,17/10/2024,THB 300.00,300,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),17/11/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),,,[Make by kbank],,,,,,⌛-291d.,,18,indystyle33,7.853403141361,
VidIQ,Business,06/10/2024,THB 300.00,300,vidIQ (https://www.notion.so/vidIQ-2390613ba140815bb2fceb05684f35ff?pvs=21),05/11/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,[Make by kbank],,,,,,⌛-303d.,,13,,7.853403141361,
Notion,Business,28/09/2024,THB 432.00,432,Notion (https://www.notion.so/Notion-2390613ba140818aaa6efc0f7699a1f6?pvs=21),27/10/2024,,,,Notion Design (https://www.notion.so/Notion-Design-2390613ba14081d2b74beb216cad2836?pvs=21),,[Make by kbank],,,,,,⌛-312d.,,7,,11.30890052356,
Top up,Personal,18/10/2024,THB 20.00,20,,,,,,,,[Make by kbank],,,,,,,,15,,0.523560209424,
ร้านชำ,Personal,05/10/2024,THB 45.00,45,,,,,,,,[Make by kbank],,,,,,,,23,,1.178010471204,
GPT plus,Business,16/10/2024,THB 730.00,730,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),16/11/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),,,[Make by kbank],,,,,,⌛-292d.,,22,BoldTime,19.109947643979,
เสื่อ ออกกำลังกาย,Business,01/11/2024,THB 158.00,158,Shoppee (https://www.notion.so/Shoppee-2390613ba1408180bbe3e298274d3545?pvs=21),,,,,,,,,,,,,,,26,,4.13612565445,
Mon Hun,Personal,03/10/2024,THB 300.00,300,,,,,,,,[Make by kbank],,,,,,,,21,indystyle33,7.853403141361,
หนังสือ Power Vs Force,Personal,01/11/2024,THB 800.00,800,,,,,,,,,,,,,,,,27,,20.942408376963,
VidIQ,Business,09/11/2024,THB 335.66,335.66,vidIQ (https://www.notion.so/vidIQ-2390613ba140815bb2fceb05684f35ff?pvs=21),,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,,,,,,,,,28,,8.786910994764,
Manychat,Business,29/10/2024,THB 540.00,540,ManyChat (https://www.notion.so/ManyChat-2390613ba1408130b701c4a300e0298c?pvs=21),,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),,,[Make by kbank],,,,,,,,25,BoldTime,14.13612565445,
Ubersugget,Business,06/10/2024,THB 300.00,300,Ubersuggest (https://www.notion.so/Ubersuggest-2390613ba1408137a00de1ca9d1c4868?pvs=21),05/11/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,[Make by kbank],,,,,,⌛-303d.,,19,,7.853403141361,
Shadow of mordor,Personal,25/10/2024,THB 173.00,173,,,,,,,,[Make by kbank],,,,,,,,20,,4.528795811518,
Capcut,Business,13/10/2024,THB 249.00,249,Capcut (https://www.notion.so/Capcut-2390613ba1408198a90fcffb3af90f83?pvs=21),13/11/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,[Make by kbank],,,,,,⌛-295d.,,24,indystyle33,6.51832460733,
ค่าส่งหนังสือหุ้น,Personal,14/11/2024,THB 690.00,690,,,,,,,,,,,,,,,,36,,18.062827225131,
game Zoo,Personal,11/11/2024,THB 99.60,99.6,,,,,,,,,,,,,,,,38,,2.607329842932,
Notion,Business,16/11/2024,THB 431.61,431.61,Notion (https://www.notion.so/Notion-2390613ba140818aaa6efc0f7699a1f6?pvs=21),15/12/2024,,,,,,,,,,,,⌛-263d.,,35,,11.298691099476,
แว่น,Personal,08/11/2024,"THB 3,000.00",3000,,,,,,,,,,,,,,,,33,,78.534031413613,
หนังสือ,Personal,24/11/2024,"THB 1,348.00",1348,,,,,,,,,,,,,,,,34,,35.287958115183,
KTB Card free,Business,16/11/2024,THB 200.00,200,,,,,,,,,,,,,,,,31,,5.235602094241,
GPT,Business,15/11/2024,THB 700.00,700,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),15/12/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),,,,,,,,,⌛-263d.,,29,BoldTime,18.324607329843,
Make.com,Business,01/12/2024,THB 375.00,375,Make.com (https://www.notion.so/Make-com-2390613ba14081c38ac5d8d80f42d8f4?pvs=21),31/12/2024,,,,"AI Agent, Automation Service (https://www.notion.so/AI-Agent-Automation-Service-2390613ba14081a0b13ac5e3ef94a735?pvs=21)",,[Make by kbank],,,,,Invoice-24-12-01-make.pdf,⌛-247d.,,30,hey.billie002,9.816753926702,10.52
Gemini Free trial,Business,03/12/2024,THB 0.00,0,Google : Gemini (https://www.notion.so/Google-Gemini-2390613ba1408175bb94f4c746fa4e7b?pvs=21),02/01/2025,,,,,,,,,,,,⌛-245d.,,39,BoldTime,0,0
http://Make.com Operation,Business,07/11/2024,THB 340.00,340,Make.com (https://www.notion.so/Make-com-2390613ba14081c38ac5d8d80f42d8f4?pvs=21),,,,Untitled (https://www.notion.so/13f43d34092880358322c4fe6b081a0c?pvs=21),"AI Agent, Automation Service (https://www.notion.so/AI-Agent-Automation-Service-2390613ba14081a0b13ac5e3ef94a735?pvs=21)",,,,,,,,,,32,hey.billie002,8.900523560209,
Youtube,Business,20/11/2024,THB 320.00,320,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),20/12/2024,,,Untitled (https://www.notion.so/efd9c99f16394050892db68d8485f022?pvs=21),FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,,,,,,,⌛-258d.,,37,indystyle33,8.376963350785,
Drink,Personal,01/12/2024,THB 90.00,90,,,,,,,,,,,,,,,,43,,2.356020942408,
ดอก ธกส.,Personal,03/12/2024,"THB 3,500.00",3500,,,,,,,,,,,,,,,,49,,91.623036649215,
หนม,Personal,05/12/2024,THB 100.00,100,,,,,,,,,,,,,,,,52,,2.61780104712,
GPT,Business,19/12/2024,THB 760.00,760,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),19/01/2025,,,,FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,,,,,,,⌛-228d.,,51,,19.895287958115,
Canabis,Personal,14/12/2024,THB 300.00,300,,,,,,,,,,,,,,,,45,,7.853403141361,
Top up,Personal,04/12/2024,THB 70.00,70,,,,,,,,,,,,,,,,46,,1.832460732984,
บุหรี่แม่,Personal,05/12/2024,THB 220.00,220,,,,,,,,,,,,,,,,48,,5.759162303665,
Xbox Gamepass,,30/11/2023,,0,Xbox (https://www.notion.so/Xbox-2390613ba14081cd8faee9147373bc39?pvs=21),30/12/2023,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - Card account,,,,,,⌛-614d.,,40,naruecha.ps@hotmail.com,0,2.8
หนม,Personal,14/12/2024,THB 100.00,100,,,,,,,,,,,,,,,,42,,2.61780104712,
Notion,Business,26/12/2024,THB 432.00,432,Notion (https://www.notion.so/Notion-2390613ba140818aaa6efc0f7699a1f6?pvs=21),26/01/2025,,,,FlowBiz Youtube (https://www.notion.so/FlowBiz-Youtube-2390613ba14081dc9617c9478f72fb33?pvs=21),,,,,,,,⌛-221d.,,50,,11.30890052356,
